id;tabla;fuente;duplicado_en_b;precio;area;precio_m2;lat;lon;manzana;barrio;localidad;codigo_predial;estrato;estrato_num;avaluo;anio;habitaciones;banios;plantas;piso;anio_construccion;uso;condicion_predio;clase_unidad_principal;origen_predio;origen_caract;origen_atributos;npn_remapeado;area_es_suma_pisos;area_confiable;es_vis;precio_valido;area_valida;vivienda_sin_ambientes;vivienda_en_sotano;precio_m2_en_rango;apto_modelo
B:18529;B;observatorio;False;827964000,0;88,85;9318671,918964548;10,975506620943163;-74,78537384513893;"=""08001010500000341""";CHIQUINQUIRA;SURORIENTE;"=""080010105000003410039000000000""";No_Aplica;;152699000,0;2019;0,0;1,0;1,0;1,0;2011,0;Comercial_Bodegas_Comerciales_Grandes_Almacenes;NPH;otro_uso;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18530;B;observatorio;False;827964000,0;;;10,975212371109826;-74,78545407035097;"=""08001010500000341""";CHIQUINQUIRA;SURORIENTE;"=""080010105000003410040000000000""";No_Aplica;;186962000,0;2019;;;;;;;NPH;;unidad_2022;;;False;;True;False;True;False;False;False;False;False
B:18531;B;observatorio;False;110000000,0;71,0;1549295,7746478873;10,97332753903919;-74,78780615902636;"=""08001010500000353""";CHIQUINQUIRA;SURORIENTE;"=""080010105000003530006000000000""";Medio_Bajo_3;3;100147000,0;2019;2,0;1,0;1,0;1,0;1986,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18532;B;observatorio;False;380000000,0;481,54;789134,8589940607;10,977402412993836;-74,7858392626637;"=""08001010500000356""";CHIQUINQUIRA;SURORIENTE;"=""080010105000003560013000000000""";No_Aplica;;342750000,0;2019;6,0;2,0;1,0;1,0;2009,0;Industrial_Industrias;NPH;otro_uso;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18533;B;observatorio;False;630000000,0;281,0;2241992,8825622774;10,977979611604464;-74,78124901687498;"=""08001010200000085""";CENTRO;NORTE - CENTRO HISTORICO;"=""080010102000000850001000000000""";No_Aplica;;297296000,0;2019;12,0;4,0;2,0;1,0;1986,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18534;B;observatorio;False;500000000,0;143,0;3496503,4965034965;10,981022044620769;-74,78053186719652;"=""08001010200000088""";CENTRO;NORTE - CENTRO HISTORICO;"=""080010102000000880009000000000""";No_Aplica;;425151000,0;2019;0,0;4,0;1,0;1,0;1999,0;Industrial_Bodega_Casa_Bomba;NPH;otro_uso;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18535;B;observatorio;False;1070000000,0;716,0;1494413,407821229;10,983959343226916;-74,77903111264634;"=""08001010200000074""";CENTRO;NORTE - CENTRO HISTORICO;"=""080010102000000740009000000000""";No_Aplica;;853539000,0;2019;0,0;1,0;1,0;1,0;1997,0;Comercial_Comercio;NPH;otro_uso;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18537;B;observatorio;False;170000000,0;249,0;682730,9236947792;10,982797099326767;-74,78649594801486;"=""08001010200000151""";EL ROSARIO;NORTE - CENTRO HISTORICO;"=""080010102000001510011000000000""";No_Aplica;;172052000,0;2019;0,0;0,0;1,0;1,0;2008,0;Comercial_Oficinas_Consultorios;NPH;otro_uso;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18543;B;observatorio;False;80000000,0;24,0;3333333,3333333335;10,982384216921917;-74,789513868223;"=""08001010100000049"""; ; ;"=""080010101000000490010900000000""";No_Aplica;;0,0;2019;0,0;0,0;1,0;1,5;2016,0;;PH_Unidad_Predial;otro_uso;terreno_ladm;edificio;;False;;False;False;True;True;False;False;True;True
B:18544;B;observatorio;False;115000000,0;24,0;4791666,666666667;10,982384216921917;-74,789513868223;"=""08001010100000049"""; ; ;"=""080010101000000490010900000000""";No_Aplica;;0,0;2019;0,0;0,0;1,0;1,5;2016,0;;PH_Unidad_Predial;otro_uso;terreno_ladm;edificio;;False;;False;False;True;True;False;False;True;True
